# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1705941960785000000,1705942020867000000,27409
FileNameCache.queries,1705941960785000000,1705942020867000000,976953
FileNameCache.fastMisses,1705941960785000000,1705942020867000000,40856
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705941960785000000,1705942020867000000,0
FilePageCache.maxRegisteredFiles,1705941960785000000,1705942020867000000,654
FilePageCache.maxCacheSizeInBytes,1705941960785000000,1705942020867000000,302284800
FilePageCache.disposedBuffers,1705941960785000000,1705942020867000000,3
FilePageCache.capacityInBytes,1705941960785000000,1705942020867000000,524288000
StorageLockContext.competingThreads.90P,1705941960785000000,1705942020867000000,0
FilePageCache.pageFastCacheHits,1705941960785000000,1705942020867000000,579989
FilePageCache.pageHits,1705941960785000000,1705942020867000000,1154
StorageLockContext.competingThreads.max,1705941960785000000,1705942020867000000,3
StorageLockContext.competingThreads.avg,1705941960785000000,1705942020867000000,0.02586206896551724
FilePageCache.uncachedFileAccess,1705941960785000000,1705942020867000000,161
FilePageCache.totalPageDisposalsUs,1705941960785000000,1705942020867000000,1405
DirectByteBufferAllocator.hits,1705941960785000000,1705942020867000000,3
FilePageCache.pageLoads,1705941960785000000,1705942020867000000,563
FilePageCache.totalPageLoadsUs,1705941960785000000,1705942020867000000,629975
DirectByteBufferAllocator.disposed,1705941960785000000,1705942020867000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705941960785000000,1705942020867000000,0
DirectByteBufferAllocator.reclaimed,1705941960785000000,1705942020867000000,3
DirectByteBufferAllocator.misses,1705941960785000000,1705942020867000000,560
FlushQueue.tasksExecuted,1705941960785000000,1705942020867000000,4006
AWTEventQueue.dispatchTimeMaxNs,1705941960785000000,1705942020867000000,1300234239
NonBlockingReadAction.finalizedExecutionTimeUs,1705941960785000000,1705942020867000000,2596438
FlushQueue.executionTimeMaxNs,1705941960785000000,1705942020867000000,3506438143
AWTEventQueue.eventsDispatched,1705941960785000000,1705942020867000000,4153
FlushQueue.waitingTime90PNs,1705941960785000000,1705942020867000000,187695103
NonBlockingReadAction.failedExecutionsCount,1705941960785000000,1705942020867000000,5
FlushQueue.queueSizeMax,1705941960785000000,1705942020867000000,116
NonBlockingReadAction.failedExecutionTimeUs,1705941960785000000,1705942020867000000,90242
FlushQueue.waitingTimeMaxNs,1705941960785000000,1705942020867000000,897581055
FlushQueue.executionTime90PNs,1705941960785000000,1705942020867000000,493567
AWTEventQueue.dispatchTime90PNs,1705941960785000000,1705942020867000000,3424255
FlushQueue.queueSizeAvg,1705941960785000000,1705942020867000000,11.781827259111333
AWTEventQueue.dispatchTimeAvgNs,1705941960785000000,1705942020867000000,2332104.5143269924
FlushQueue.waitingTimeAvgNs,1705941960785000000,1705942020867000000,4.411533373739391E7
FlushQueue.executionTimeAvgNs,1705941960785000000,1705942020867000000,2256127.7161757364
FlushQueue.queueSize90P,1705941960785000000,1705942020867000000,52
NonBlockingReadAction.finalizedExecutionsCount,1705941960785000000,1705942020867000000,145
FileNameCache.totalMisses,1705942020867000000,1705942080860000000,0
FileNameCache.queries,1705942020867000000,1705942080860000000,7286
FileNameCache.fastMisses,1705942020867000000,1705942080860000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942020867000000,1705942080860000000,0
FilePageCache.maxRegisteredFiles,1705942020867000000,1705942080860000000,654
FilePageCache.maxCacheSizeInBytes,1705942020867000000,1705942080860000000,302284800
FilePageCache.disposedBuffers,1705942020867000000,1705942080860000000,0
FilePageCache.capacityInBytes,1705942020867000000,1705942080860000000,524288000
StorageLockContext.competingThreads.90P,1705942020867000000,1705942080860000000,0
FilePageCache.pageFastCacheHits,1705942020867000000,1705942080860000000,4
FilePageCache.pageHits,1705942020867000000,1705942080860000000,0
StorageLockContext.competingThreads.max,1705942020867000000,1705942080860000000,0
StorageLockContext.competingThreads.avg,1705942020867000000,1705942080860000000,0.0
FilePageCache.uncachedFileAccess,1705942020867000000,1705942080860000000,0
FilePageCache.totalPageDisposalsUs,1705942020867000000,1705942080860000000,0
DirectByteBufferAllocator.hits,1705942020867000000,1705942080860000000,0
FilePageCache.pageLoads,1705942020867000000,1705942080860000000,0
FilePageCache.totalPageLoadsUs,1705942020867000000,1705942080860000000,0
DirectByteBufferAllocator.disposed,1705942020867000000,1705942080860000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942020867000000,1705942080860000000,0
DirectByteBufferAllocator.reclaimed,1705942020867000000,1705942080860000000,0
DirectByteBufferAllocator.misses,1705942020867000000,1705942080860000000,0
FlushQueue.tasksExecuted,1705942020867000000,1705942080860000000,2302
AWTEventQueue.dispatchTimeMaxNs,1705942020867000000,1705942080860000000,17694719
NonBlockingReadAction.finalizedExecutionTimeUs,1705942020867000000,1705942080860000000,336461
FlushQueue.executionTimeMaxNs,1705942020867000000,1705942080860000000,4489215
AWTEventQueue.eventsDispatched,1705942020867000000,1705942080860000000,2555
FlushQueue.waitingTime90PNs,1705942020867000000,1705942080860000000,497663
NonBlockingReadAction.failedExecutionsCount,1705942020867000000,1705942080860000000,0
FlushQueue.queueSizeMax,1705942020867000000,1705942080860000000,1
NonBlockingReadAction.failedExecutionTimeUs,1705942020867000000,1705942080860000000,0
FlushQueue.waitingTimeMaxNs,1705942020867000000,1705942080860000000,10027007
FlushQueue.executionTime90PNs,1705942020867000000,1705942080860000000,254975
AWTEventQueue.dispatchTime90PNs,1705942020867000000,1705942080860000000,1564671
FlushQueue.queueSizeAvg,1705942020867000000,1705942080860000000,0.13900955690703737
AWTEventQueue.dispatchTimeAvgNs,1705942020867000000,1705942080860000000,624195.7823874755
FlushQueue.waitingTimeAvgNs,1705942020867000000,1705942080860000000,326205.1815812337
FlushQueue.executionTimeAvgNs,1705942020867000000,1705942080860000000,143195.6907037359
FlushQueue.queueSize90P,1705942020867000000,1705942080860000000,1
NonBlockingReadAction.finalizedExecutionsCount,1705942020867000000,1705942080860000000,78
FileNameCache.totalMisses,1705942080860000000,1705942140861000000,0
FileNameCache.queries,1705942080860000000,1705942140861000000,7799
FileNameCache.fastMisses,1705942080860000000,1705942140861000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942080860000000,1705942140861000000,0
FilePageCache.maxRegisteredFiles,1705942080860000000,1705942140861000000,654
FilePageCache.maxCacheSizeInBytes,1705942080860000000,1705942140861000000,302284800
FilePageCache.disposedBuffers,1705942080860000000,1705942140861000000,0
FilePageCache.capacityInBytes,1705942080860000000,1705942140861000000,524288000
StorageLockContext.competingThreads.90P,1705942080860000000,1705942140861000000,0
FilePageCache.pageFastCacheHits,1705942080860000000,1705942140861000000,6
FilePageCache.pageHits,1705942080860000000,1705942140861000000,0
StorageLockContext.competingThreads.max,1705942080860000000,1705942140861000000,0
StorageLockContext.competingThreads.avg,1705942080860000000,1705942140861000000,0.0
FilePageCache.uncachedFileAccess,1705942080860000000,1705942140861000000,0
FilePageCache.totalPageDisposalsUs,1705942080860000000,1705942140861000000,0
DirectByteBufferAllocator.hits,1705942080860000000,1705942140861000000,0
FilePageCache.pageLoads,1705942080860000000,1705942140861000000,0
FilePageCache.totalPageLoadsUs,1705942080860000000,1705942140861000000,0
DirectByteBufferAllocator.disposed,1705942080860000000,1705942140861000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942080860000000,1705942140861000000,0
DirectByteBufferAllocator.reclaimed,1705942080860000000,1705942140861000000,0
DirectByteBufferAllocator.misses,1705942080860000000,1705942140861000000,0
FlushQueue.tasksExecuted,1705942080860000000,1705942140861000000,2329
AWTEventQueue.dispatchTimeMaxNs,1705942080860000000,1705942140861000000,27131903
NonBlockingReadAction.finalizedExecutionTimeUs,1705942080860000000,1705942140861000000,248891
FlushQueue.executionTimeMaxNs,1705942080860000000,1705942140861000000,10878975
AWTEventQueue.eventsDispatched,1705942080860000000,1705942140861000000,2588
FlushQueue.waitingTime90PNs,1705942080860000000,1705942140861000000,495615
NonBlockingReadAction.failedExecutionsCount,1705942080860000000,1705942140861000000,0
FlushQueue.queueSizeMax,1705942080860000000,1705942140861000000,10
NonBlockingReadAction.failedExecutionTimeUs,1705942080860000000,1705942140861000000,0
FlushQueue.waitingTimeMaxNs,1705942080860000000,1705942140861000000,5210111
FlushQueue.executionTime90PNs,1705942080860000000,1705942140861000000,239615
AWTEventQueue.dispatchTime90PNs,1705942080860000000,1705942140861000000,1449983
FlushQueue.queueSizeAvg,1705942080860000000,1705942140861000000,0.19192786603692572
AWTEventQueue.dispatchTimeAvgNs,1705942080860000000,1705942140861000000,573114.2442040185
FlushQueue.waitingTimeAvgNs,1705942080860000000,1705942140861000000,294382.65951051953
FlushQueue.executionTimeAvgNs,1705942080860000000,1705942140861000000,136075.0880206097
FlushQueue.queueSize90P,1705942080860000000,1705942140861000000,1
NonBlockingReadAction.finalizedExecutionsCount,1705942080860000000,1705942140861000000,76
FileNameCache.totalMisses,1705942140861000000,1705942200862000000,0
FileNameCache.queries,1705942140861000000,1705942200862000000,5420
FileNameCache.fastMisses,1705942140861000000,1705942200862000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942140861000000,1705942200862000000,0
FilePageCache.maxRegisteredFiles,1705942140861000000,1705942200862000000,654
FilePageCache.maxCacheSizeInBytes,1705942140861000000,1705942200862000000,302284800
FilePageCache.disposedBuffers,1705942140861000000,1705942200862000000,0
FilePageCache.capacityInBytes,1705942140861000000,1705942200862000000,524288000
StorageLockContext.competingThreads.90P,1705942140861000000,1705942200862000000,0
FilePageCache.pageFastCacheHits,1705942140861000000,1705942200862000000,4
FilePageCache.pageHits,1705942140861000000,1705942200862000000,0
StorageLockContext.competingThreads.max,1705942140861000000,1705942200862000000,0
StorageLockContext.competingThreads.avg,1705942140861000000,1705942200862000000,0.0
FilePageCache.uncachedFileAccess,1705942140861000000,1705942200862000000,0
FilePageCache.totalPageDisposalsUs,1705942140861000000,1705942200862000000,0
DirectByteBufferAllocator.hits,1705942140861000000,1705942200862000000,0
FilePageCache.pageLoads,1705942140861000000,1705942200862000000,0
FilePageCache.totalPageLoadsUs,1705942140861000000,1705942200862000000,0
DirectByteBufferAllocator.disposed,1705942140861000000,1705942200862000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942140861000000,1705942200862000000,0
DirectByteBufferAllocator.reclaimed,1705942140861000000,1705942200862000000,0
DirectByteBufferAllocator.misses,1705942140861000000,1705942200862000000,0
FlushQueue.tasksExecuted,1705942140861000000,1705942200862000000,2323
AWTEventQueue.dispatchTimeMaxNs,1705942140861000000,1705942200862000000,27262975
NonBlockingReadAction.finalizedExecutionTimeUs,1705942140861000000,1705942200862000000,270498
